sector_id,year,dva,pure_ME_shock_annual,STMT_annual,PC_annual,ME_volatility_annual,n_events,dummy_dotcom,dummy_gfc,dummy_taper,dummy_covid,PPI_annual,REER_annual,GDP_growth,REER_annual_lag1,PPI_annual_lag1,GDP_growth_lag1
A,2012,38253.427,0.0179578156631622,0.0335023947063006,0.0089203747452441,0.000950759075278,8,0,0,0,0,202.15833333333333,90.95166666666667,7.24279620249642,90.56916666666666,201.05,0.840132083053334
A,2013,39651.424,0.0225747853020749,0.0227572859513499,0.0101822513104502,0.0006456320901497,8,0,0,1,0,203.40833333333333,95.93916666666667,2.68749556320556,90.95166666666667,202.15833333333333,7.24279620249642
A,2014,34696.817,0.0314980495209742,0.0393997841952276,0.0108260709252743,0.0015132099104227,8,0,0,0,0,205.3166666666667,93.11,0.984468863619426,95.93916666666667,203.40833333333333,2.68749556320556
A,2015,30313.883,-0.0500749326244899,-0.0363841485371942,-0.0175003113735826,0.0071458048673014,8,0,0,0,0,190.4416666666667,94.45166666666667,3.13404724911635,93.11,205.3166666666667,0.984468863619426
A,2016,29984.518,-0.0459632945409516,-0.045589496618127,-0.006200315887756,0.006270173586664,8,0,0,0,0,185.375,91.48583333333333,3.43515771692182,94.45166666666667,190.4416666666667,3.13404724911635
A,2017,33054.798,0.0004441779277101,0.006978158686504,0.0073603620963506,0.0025270540030022,8,0,0,0,0,193.53333333333333,94.50416666666666,4.1776810321001,91.48583333333333,185.375,3.43515771692182
A,2018,35858.97,0.0189215683694681,0.0291499451831207,-0.001587441428465,0.0008137747829738,8,0,0,0,0,201.95,97.22083333333335,4.22287028746071,94.50416666666666,193.53333333333333,4.1776810321001
A,2019,38321.079,-0.005957803501685,-0.0152690714608288,0.0354461032598533,0.0133229816699979,9,0,0,0,0,199.84166666666667,102.85083333333334,2.11455779628278,97.22083333333335,201.95,4.22287028746071
A,2020,38061.365,0.0042632722754979,-0.1448202498353149,-0.000526726658074,0.0167913519090441,13,0,0,0,1,194.375,100.0,-6.05003846851622,102.85083333333334,199.84166666666667,2.11455779628278
A,2021,38350.022,0.0295779754737665,0.0327875910612303,0.012943521928409,0.001357965858958,8,0,0,0,1,227.34441666666663,94.44833333333332,1.55216608426647,100.0,194.375,-6.05003846851622
